Time Step,Current Speed,Target Speed
0.05,3.4550808056618085,108
0.05,5.094544638701575,108
0.05,6.167800105529511,108
0.05,3.1018938626167536,108
0.05,0.8916679418875136,108
0.05,0.21111001775641242,108
0.05,0.033388921081609964,108
0.05,0.09067224958826398,108
0.05,0.10666557726199714,108
0.05,0.41846885422345165,108
0.05,0.28111378574353973,108
0.05,-0.29179789255017863,108
0.05,-0.0709566112549504,108
0.05,0.04045140149694788,108
0.05,0.18927330564849698,108
0.05,0.3108814300310051,108
0.05,-0.0957871224122433,108
0.05,-0.21982414612918172,108
0.05,0.19199411240133588,108
0.05,0.23349934788589452,108
0.05,-0.016886890627272385,108
0.05,0.40782450961080213,108
0.05,0.029822950552176923,108
0.05,-0.2373840317304203,108
0.05,0.04725844355865585,108
0.05,-0.11527337530264554,108
0.05,0.20640277244474065,108
0.05,-0.3349700739324592,108
0.05,-0.09655401027657087,108
0.05,0.15253393663148276,108
0.05,0.09853626505749889,108
0.05,0.0018615804543465756,108
0.05,0.4273946075281694,108
0.05,-0.05460608369276271,108
0.05,0.1519003099053347,108
0.05,-0.3002562960620638,108
0.05,-0.3788581782061228,108
0.05,-0.06215018152857534,108
0.05,-0.07630066968962164,108
0.05,0.3936402004514558,108
0.05,-0.3187081400100227,108
0.05,0.09136060638903544,108
0.05,0.003609325957470293,108
0.05,0.03168136799504124,108
0.05,0.33233638935241727,108
0.05,0.10653472664155846,108
0.05,-0.20314682841229434,108
0.05,0.32887049543448593,108
0.05,-0.22403304249335065,108
0.05,0.9268437731870888,108
0.05,2.999175426544037,108
0.05,5.3270872782096745,108
0.05,7.210277277677268,108
0.05,9.218275209764222,108
0.05,10.718644639166662,108
0.05,12.27386425063277,108
0.05,13.851207832288315,108
0.05,14.979184399606948,108
0.05,16.15879317785662,108
0.05,17.41587244528278,108
0.05,18.657590617247646,108
0.05,19.52351602317462,108
0.05,20.26464616849792,108
0.05,21.67877928261197,108
0.05,22.226062229224482,108
0.05,22.553175330283327,108
0.05,24.12770137288471,108
0.05,24.399415587506017,108
0.05,24.960562605760575,108
0.05,26.283368737483237,108
0.05,26.743371158442777,108
0.05,27.713539367805325,108
0.05,28.17721028041197,108
0.05,28.955946663884202,108
0.05,29.571146254476712,108
0.05,30.21444515474461,108
0.05,30.310354321292305,108
0.05,31.481433202136582,108
0.05,32.0043826293832,108
0.05,32.46644688871557,108
0.05,32.01867118258803,108
0.05,32.04729210298244,108
0.05,31.814619124471566,108
0.05,32.01833705963614,108
0.05,32.07161431453477,108
0.05,31.693174571927283,108
0.05,31.79954142677185,108
0.05,31.579383883660224,108
0.05,31.987115106121276,108
0.05,31.63975989905272,108
0.05,32.68834079834072,108
0.05,33.28474165132826,108
0.05,33.956787651764074,108
0.05,34.958787913056646,108
0.05,35.85464737942863,108
0.05,36.21031301244268,108
0.05,37.03038158448238,108
0.05,37.6646198502365,108
0.05,38.172412047305606,108
0.05,38.96462298370996,108
0.05,39.5048787672629,108
0.05,39.84926243148043,108
0.05,40.65889641192942,108
0.05,40.89701778893172,108
0.05,41.702407728106145,108
0.05,42.2176906857941,108
0.05,42.45639627400018,108
0.05,42.95473685442305,108
0.05,43.57337111591133,108
0.05,44.431960335457475,108
0.05,44.69259286165659,108
0.05,45.017385968498196,108
0.05,45.74005127023116,108
0.05,46.35055280240828,108
0.05,46.70837777699868,108
0.05,47.184159978974854,108
0.05,47.66203105306217,108
0.05,47.80453572977373,108
0.05,48.68157286077179,108
0.05,48.78715241623596,108
0.05,48.79019194426937,108
0.05,48.725219217838976,108
0.05,48.636076684638866,108
0.05,48.72310394580337,108
0.05,48.4137811512645,108
0.05,48.16842107397965,108
0.05,47.92072164973746,108
0.05,47.8919886929312,108
0.05,48.38466059453372,108
0.05,47.71089483384823,108
0.05,48.26532016602652,108
0.05,49.197223466829,108
0.05,49.659694571503444,108
0.05,50.18614242780557,108
0.05,50.654910870429866,108
0.05,51.286430133671686,108
0.05,51.47217566663034,108
0.05,51.56211207328503,108
0.05,52.370286509079776,108
0.05,52.38034085985232,108
0.05,53.06233206048875,108
0.05,53.27763926757813,108
0.05,54.162328512659755,108
0.05,53.87631296119984,108
0.05,54.59345918068864,108
0.05,55.28673668455572,108
0.05,55.550881313102,108
0.05,56.048939392458365,108
0.05,55.788263070605076,108
0.05,56.1674227958359,108
0.05,56.607685882041714,108
0.05,56.9384164743542,108
0.05,57.037181594084124,108
0.05,57.79182728191453,108
0.05,57.89748279308005,108
0.05,58.457870825988664,108
0.05,58.835573697901445,108
0.05,59.04343426909605,108
0.05,59.66264296311174,108
0.05,59.84274260223834,108
0.05,60.13673136234268,108
0.05,60.222240331579385,108
0.05,59.60074757589066,108
0.05,59.57188425197243,108
0.05,59.48235193591186,108
0.05,59.341625365445786,41.64489355881901
0.05,59.30798962115492,108
0.05,58.879793869143256,108
0.05,58.55042773309628,108
0.05,58.3505878875039,41.716504444870566
0.05,58.39123835234636,108
0.05,58.459907935641475,108
0.05,59.01755099544154,41.75817379039191
0.05,59.05501483806171,41.77017642472163
0.05,58.67642964113149,108
0.05,57.943298575080334,108
0.05,57.9862553762611,108
0.05,58.12663472545544,108
0.05,58.200836857092646,41.81872608763128
0.05,58.15811184964546,41.82650566689082
0.05,57.89948589806171,108
0.05,57.04884613691369,108
0.05,57.51641374152276,108
0.05,56.86706146911902,108
0.05,57.0301971541531,108
0.05,56.89152374809505,41.86299785836544
0.05,57.05391344089535,108
0.05,56.91998554316603,108
0.05,56.94526475636176,108
